ORGZ_MISSED_APP;Пропущенные напоминания
ORGZ_ORGANIZMNU;Меню Органайзер
ORGZ_ORGZRNOTES;Записки
ORGZ_ORGZRTASKS;Задания
ORGZ_SOLARLUNAR;??
ORGZ_TIME_ZONES;Часовые пояса
PROF_PROFILEMNU;Меню Профили
RECD_DELETERECD;Удалить списки
RECD_DURCHARGES;Время\стоимость
RECD_DURCHSETUP;Настройка тарифа
RECD_RECORDMENU;Списки вызовов
STUP_ACC_CARKIT;Настройки Car Kit
STUP_ACC_HEADSET;Настройки гарнитуры
STUP_ACCESS_MNU;Меню Аксессуары
STUP_ALTER_LINE;??
STUP_ANYKEYTOAN;Ответ любой клавишей
STUP_AUTENTIFIC;Аутентификация WAP
STUP_AUTONETWORK;Автоматический выбор сети
STUP_AVATAR_MNU;Тел.помощник
STUP_BARRINGMENU;Меню Сетевые блокировки
STUP_BITMAPLOGO;Выбор логотипа
STUP_ACC_HEADSE;Настройка гарнитуры
STUP_AUTONETWOR;Автоматический выбор сети
STUP_BARRINGMNU;Меню Сетевые блокировки

