;entrypoints E71v45
;$TA$ 12.03.07
;247 ук
ONLINE_STAT_MGR --- A06E8237
ONLY_PROTEC_SIM --- A06E8D71
ORA_HELP_EMAIL --- A06E9049
ORA_HELP_INLIFE --- A06E9041
ORA_HOMESCREEN --- A06E9039
ORG_APPOINTMENT --- A06E812D
ORG_APPOINT_NEW --- A06E81A7
ORG_CALENDAR --- A06E8125
ORG_NOTES --- A06E8161
ORG_NOTE_NEW --- A06E81BD
ORG_TASKS --- A06E8147
ORG_TIME_ZONES --- A06E81C5
OWN_GREETING --- A06E8791
PHONECOD_CHANGE --- A06E8DFB
PHONE_IDENTITY --- A06E8B8B
PIN2_CHANGE --- A06E8DE9
PIN_CHANGE --- A06E8DD7
PIN_CODES --- A06E8D8B
PIN_CONTROL --- A06E8DC7
POCKET_LAMP --- A06E8FB3
PREF_NETWORK --- A06E8E49
PRESENCE_MGR --- A06E822D
PROSLIDE_LOCK --- A06E8D3D
RADIO --- A06E8FF7
REC_CHARGE_MENU --- A06E7C47
REC_CHARGE_SETT --- A06E7C4F
REC_DELETE_LIST --- A06E7C3F
REC_DIALED_LIST --- A06E7C37
REC_MENU --- A06E7C1D
REC_MISSED_LIST --- A06E7C27
REC_RECEIV_LIST --- A06E7C2F
REMOTE_SAT --- A06E8201
REMOTE_SYNCHRON --- A06E8195
SAT --- A06E81F7
SCREENSAVER --- A06E8757
SETUP_ACCESSORY --- A06E8EC9
SETUP_CALL --- A06E8A95
SETUP_CLOCK --- A06E8C63
SETUP_CNCT --- A06E8959
SETUP_DISPLAY --- A06E87E1
SETUP_FAXDATA --- A06E8963
SETUP_FILESYST --- A06E8BB5
SETUP_NETWORK --- A06E8E99
SETUP_PHONE --- A06E8BAB
SETUP_RINGTONES --- A06E8707
SETUP_SECURITY --- A06E8DBD
SETUP_SHORTCUTS --- A06E8A0D
SHOW_CLOCK --- A06E8C3F
SOUND_RECORDER --- A06E8241
START_OF_WEEK --- A06E8C1B
STOPWATCH --- A06E8329
SYSTEM_VOLUME --- A06E8509
SYSTEM_VOL_DOWN --- A06E8FA7
SYSTEM_VOL_UP --- A06E8F9B
T9_EXPORT --- A06E8ADB
T9_IMPORT --- A06E8AD3
TEST_APP_APM --- A06E7917
TEXT_INPUT --- A06E8AB9
THEMES --- A06E8711
THIS_SIM_ONLY --- A06E8D93
TIME_DATE --- A06E8BBF
TIME_FORMAT --- A06E8BF7
TIME_ZONES --- A06E8BD1
TONES_ON_OFF --- A06E8FDF
TONE_CALLS --- A06E8559
TONE_CBS --- A06E85E7
TONE_EMAIL --- A06E8603
TONE_GAMES --- A06E869B
TONE_IMPS --- A06E867F
TONE_ORGANISER --- A06E864F
TONE_SHUTDOWN --- A06E86CB
TONE_SMS_MMS --- A06E85CB
TONE_STARTUP --- A06E86B7
TONE_WALKYTALKY --- A06E8591
UNIT_CONVERTER --- A06E821B
UPDATE_TIME --- A06E8C51
USER_GROUP --- A06E8E91
USER_PROFILES --- A06E8501
VIBRATION --- A06E8843
VIBRA_LIGHT --- A06E8805
VOICE_MESSAGE --- A06E7FB9 (VOICE_MSG_START)
VOICE_MSGCHANGE --- A06E7FC3
WALLPAPER --- A06E871B
WALLPAPER_EXT --- A06E872F
WT_SESSION_VIEW --- A06E83BD

Выкление --- A0543CE4
Перезагрузка --- 0543CF0
